COMUNA_NOMBRE,COMUNA_ID,PROVINCIA_NOMBRE,PROVINCIA_ID,REGION_NOMBRE,REGION_ID,CIRCUNSCRIPCION_NOMBRE,CIRCUNSCRIPCION_ID,DISTRITO_ID
Iquique,1101,Iquique,11,Tarapacá,1,Tarapacá,1,2
Alto Hospicio,1107,Iquique,11,Tarapacá,1,Tarapacá,1,2
Pozo Almonte,1401,Tamarugal,14,Tarapacá,1,Tarapacá,1,2
Camiña,1402,Tamarugal,14,Tarapacá,1,Tarapacá,1,2
Colchane,1403,Tamarugal,14,Tarapacá,1,Tarapacá,1,2
Huara,1404,Tamarugal,14,Tarapacá,1,Tarapacá,1,2
Pica,1405,Tamarugal,14,Tarapacá,1,Tarapacá,1,2
Antofagasta,2101,Antofagasta,21,Antofagasta,2,Antofagasta,2,4
Mejillones,2102,Antofagasta,21,Antofagasta,2,Antofagasta,2,4
Sierra Gorda,2103,Antofagasta,21,Antofagasta,2,Antofagasta,2,4
Taltal,2104,Antofagasta,21,Antofagasta,2,Antofagasta,2,4
Calama,2201,El Loa,22,Antofagasta,2,Antofagasta,2,3
Ollagüe,2202,El Loa,22,Antofagasta,2,Antofagasta,2,3
San Pedro de Atacama,2203,El Loa,22,Antofagasta,2,Antofagasta,2,3
Tocopilla,2301,Tocopilla,23,Antofagasta,2,Antofagasta,2,3
María Elena,2302,Tocopilla,23,Antofagasta,2,Antofagasta,2,3
Copiapó,3101,Copiapó,31,Atacama,3,Atacama,3,5
Caldera,3102,Copiapó,31,Atacama,3,Atacama,3,6
Tierra Amarilla,3103,Copiapó,31,Atacama,3,Atacama,3,6
Chañaral,3201,Chañaral,32,Atacama,3,Atacama,3,5
Diego de Almagro,3202,Chañaral,32,Atacama,3,Atacama,3,5
Vallenar,3301,Huasco,33,Atacama,3,Atacama,3,6
Alto del Carmen,3302,Huasco,33,Atacama,3,Atacama,3,6
Freirina,3303,Huasco,33,Atacama,3,Atacama,3,6
Huasco,3304,Huasco,33,Atacama,3,Atacama,3,6
La Serena,4101,Elqui,41,Coquimbo,4,Coquimbo,4,7
Coquimbo,4102,Elqui,41,Coquimbo,4,Coquimbo,4,8
Andacollo,4103,Elqui,41,Coquimbo,4,Coquimbo,4,7
La Higuera,4104,Elqui,41,Coquimbo,4,Coquimbo,4,7
Paihuano,4105,Elqui,41,Coquimbo,4,Coquimbo,4,7
Vicuña,4106,Elqui,41,Coquimbo,4,Coquimbo,4,7
Illapel,4201,Choapa,42,Coquimbo,4,Coquimbo,4,9
Canela,4202,Choapa,42,Coquimbo,4,Coquimbo,4,9
Los Vilos,4203,Choapa,42,Coquimbo,4,Coquimbo,4,9
Salamanca,4204,Choapa,42,Coquimbo,4,Coquimbo,4,9
Ovalle,4301,Limarí,43,Coquimbo,4,Coquimbo,4,8
Combarbalá,4302,Limarí,43,Coquimbo,4,Coquimbo,4,9
Monte Patria,4303,Limarí,43,Coquimbo,4,Coquimbo,4,9
Punitaqui,4304,Limarí,43,Coquimbo,4,Coquimbo,4,9
